Datum;Kategorie;Flugpassagiere;Luftfracht;Flugbewegungen
07.04.2019;Andere Kategorien;11;0;55
07.04.2019;Passagierverkehr;29619;0;222
07.04.2019;Fracht Express;0;;
07.04.2019;Fracht Cargo;0;22;2
08.04.2019;Passagierverkehr;26918;0;220
08.04.2019;Andere Kategorien;18;0;46
08.04.2019;Fracht Express;0;160;14
08.04.2019;Fracht Cargo;0;49;2
09.04.2019;Passagierverkehr;22738;0;212
09.04.2019;Andere Kategorien;1;0;25
09.04.2019;Fracht Express;0;201;22
09.04.2019;Fracht Cargo;0;;
10.04.2019;Passagierverkehr;24280;1;212
10.04.2019;Fracht Express;0;200;20
10.04.2019;Fracht Cargo;0;50;2
10.04.2019;Andere Kategorien;12;0;24
11.04.2019;Andere Kategorien;12;0;31
11.04.2019;Passagierverkehr;26288;2;222
11.04.2019;Fracht Express;0;221;22
11.04.2019;Fracht Cargo;0;;
12.04.2019;Fracht Express;0;160;15
12.04.2019;Fracht Cargo;0;57;2
12.04.2019;Passagierverkehr;31143;0;253
12.04.2019;Andere Kategorien;12;0;79
13.04.2019;Andere Kategorien;6;0;26
13.04.2019;Passagierverkehr;27667;14;218
13.04.2019;Fracht Express;0;42;5
13.04.2019;Fracht Cargo;0;77;4
14.04.2019;Fracht Cargo;0;16;2
14.04.2019;Passagierverkehr;32113;0;236
14.04.2019;Fracht Express;0;;
14.04.2019;Andere Kategorien;8;0;17
15.04.2019;Fracht Express;0;162;12
15.04.2019;Fracht Cargo;0;63;2
15.04.2019;Andere Kategorien;11;0;52
15.04.2019;Passagierverkehr;28582;1;229
16.04.2019;Fracht Express;0;186;16
16.04.2019;Fracht Cargo;0;;
16.04.2019;Passagierverkehr;25049;1;219
16.04.2019;Andere Kategorien;8;0;34
17.04.2019;Fracht Cargo;0;43;2
17.04.2019;Andere Kategorien;5;0;47
17.04.2019;Passagierverkehr;27179;0;217
17.04.2019;Fracht Express;0;221;20
18.04.2019;Passagierverkehr;29314;1;237
18.04.2019;Fracht Cargo;0;;
18.04.2019;Andere Kategorien;20;0;94
18.04.2019;Fracht Express;0;235;20
19.04.2019;Fracht Cargo;0;58;2
19.04.2019;Passagierverkehr;32523;0;235
19.04.2019;Fracht Express;0;44;4
19.04.2019;Andere Kategorien;7;0;67
20.04.2019;Andere Kategorien;0;0;37
20.04.2019;Fracht Cargo;0;13;2
20.04.2019;Passagierverkehr;28280;0;204
20.04.2019;Fracht Express;0;36;4
21.04.2019;Passagierverkehr;30918;0;217
